,epoch,loss,turn
0,01,22.09,first-img 50k
1,02,20.639,first-img 50k
2,08,13.621,first-img 50k
3,09,11.773,first-img 50k
4,03,20.985,first-img 50k
5,04,20.638,first-img 50k
6,05,19.137,first-img 50k
7,06,19.24,first-img 50k
8,07,14.973,first-img 50k
9,13,1.202,second-img 700k
10,12,1.342,second-img 700k
11,29,0.569,second-img 700k
12,10,1.522,second-img 700k
13,09,1.78,second-img 700k
14,08,2.029,second-img 700k
15,04,4.491,second-img 700k
16,06,3.112,second-img 700k
17,05,3.841,second-img 700k
18,14,1.172,second-img 700k
19,03,5.231,second-img 700k
20,02,6.834,second-img 700k
21,07,3.067,second-img 700k
22,11,1.469,second-img 700k
23,27,0.63,second-img 700k
24,23,0.76,second-img 700k
25,28,0.747,second-img 700k
26,15,1.057,second-img 700k
27,26,0.621,second-img 700k
28,17,0.973,second-img 700k
29,24,0.614,second-img 700k
30,25,0.877,second-img 700k
31,22,0.878,second-img 700k
32,21,0.789,second-img 700k
33,20,0.762,second-img 700k
34,19,0.805,second-img 700k
35,18,0.899,second-img 700k
36,01,10.029,second-img 700k
37,16,0.946,second-img 700k
38,30,0.571,second-img 700k
